5 dispositivi
192.168.10.68,0.036980,1.062700,1.142
192.168.10.145,0.030971,2.836101,3.060
192.168.10.92,0.030847,5.323401,5.723
192.168.10.113,4.351539,2.906648,8.693
192.168.10.62,0.033218,6.218639,11.868

192.168.10.113,0.035747,1.122242,1.223
192.168.10.145,0.030702,2.463981,2.627
192.168.10.92,0.031194,4.330222,4.601
192.168.10.68,0.097735,4.675135,9.311
192.168.10.62,3.303394,2.198840,9.311

192.168.10.68,0.035954,1.000663,1.080
192.168.10.113,0.030481,2.480241,2.590
192.168.10.62,0.034508,3.272225,4.417
192.168.10.145,4.339403,2.242128,6.880
192.168.10.92,4.372592,4.674537,9.334

192.168.10.92,0.035229,6.181883,6.359
192.168.10.145,0.031016,7.580772,7.797
192.168.10.68,0.061972,9.360102,9.637
192.168.10.62,0.030751,11.617739,11.888
192.168.10.113,0.060219,2.401429,14.346

192.168.10.62,0.066695,0.955181,1.074
192.168.10.145,0.030324,2.415356,2.575
192.168.10.68,0.030983,4.120791,4.420
192.168.10.92,0.092338,6.092450,6.266
192.168.10.113,0.038584,7.490098,8.605

192.168.10.113,0.030365,1.022427,1.082
192.168.10.92,0.031059,2.430008,2.521
192.168.10.68,0.031189,4.246650,4.421
192.168.10.145,1.092823,5.324205,6.468
192.168.10.62,1.912333,4.414572,8.927

192.168.10.113,0.062822,1.086395,1.209
192.168.10.92,0.035558,2.466344,2.547
192.168.10.68,0.030816,4.088139,4.386
192.168.10.62,0.094088,6.231364,6.437
192.168.10.145,0.031482,8.721195,8.890

192.168.10.145,0.035692,1.107628,1.183
192.168.10.62,0.060934,2.505313,2.668
192.168.10.113,0.092950,4.166304,4.509
192.168.10.68,0.122765,6.275000,6.560
192.168.10.92,0.091738,8.876515,9.236

192.168.10.68,0.030872,2.512456,2.653
192.168.10.113,0.035787,1.064190,2.653
192.168.10.92,0.030904,4.336099,4.494
192.168.10.62,1.916681,2.184903,6.745
192.168.10.145,3.428876,4.753450,9.407

192.168.10.92,0.035153,1.019251,1.091
192.168.10.145,0.030695,2.306201,2.411
192.168.10.113,0.034577,3.025069,4.267
192.168.10.68,0.031111,6.084073,6.312
192.168.10.62,0.033488,7.454450,8.772

