192.168.10.100,0.052435,1.229318,1.291
192.168.10.101,0.055989,2.853890,3.059
192.168.10.103,0.051432,4.602520,4.725

192.168.10.100,0.055422,1.286804,1.377
192.168.10.101,0.057780,2.808488,3.058
192.168.10.103,0.058572,4.838344,5.139

192.168.10.100,0.054021,1.117439,1.182
192.168.10.101,0.049334,2.659986,2.854
192.168.10.103,0.047369,4.346160,4.578

192.168.10.100,0.060833,1.058687,2.579
192.168.10.103,0.048529,2.393667,1.127
192.168.10.101,0.075338,4.017611,4.492

192.168.10.101,0.055550,1.021980,2.649
192.168.10.100,0.057040,2.396112,1.216
192.168.10.103,0.051439,3.904201,4.179

192.168.10.100,0.055740,1.318493,1.383
192.168.10.101,0.089557,3.107155,3.263
192.168.10.103,0.061246,5.854728,6.117

192.168.10.100,0.062266,1.261295,1.334
192.168.10.101,0.044726,2.767382,2.854
192.168.10.103,0.052585,4.467545,4.620

192.168.10.100,0.056012,1.211164,1.275
192.168.10.101,0.048159,2.850195,3.050
192.168.10.103,0.050217,4.495567,4.795

192.168.10.100,0.074520,1.077042,1.162
192.168.10.101,0.058941,2.517519,2.650
192.168.10.103,0.050404,4.295686,4.404

192.168.10.101,0.055688,1.245725,1.422
192.168.10.100,0.063490,2.659811,2.854
192.168.10.103,0.050936,4.392831,4.566

3 volte fin

192.168.10.101,0.092323,0.001163,0.091160,1.184789,1.287
192.168.10.100,0.095188,0.002558,0.092630,2.857141,3.061
192.168.10.102,0.073284,0.001091,0.072193,4.639586,4.784

192.168.10.100,0.063023,0.002340,0.060683,1.105137,1.176
192.168.10.101,0.064013,0.001046,0.062967,2.630936,2.703
192.168.10.102,0.077271,0.000533,0.076738,4.439347,4.707

192.168.10.101,0.066710,0.002519,0.064191,1.027531,1.242
192.168.10.100,0.065400,0.001218,0.064182,2.513128,2.766
192.168.10.102,0.066509,0.000448,0.066061,4.282544,4.493

192.168.10.100,0.082530,0.002321,0.080209,1.095546,1.186
192.168.10.101,0.075230,0.001207,0.074023,2.468304,2.551
192.168.10.102,0.077859,0.001149,0.076710,4.202477,4.436

192.168.10.100,0.079096,0.000710,0.078386,1.244213,1.331
192.168.10.101,0.074998,0.000524,0.074474,2.768570,2.853
192.168.10.102,0.075510,0.000523,0.074987,4.410824,4.544

192.168.10.101,0.076339,0.001042,0.075297,1.063760,1.207
192.168.10.100,0.080777,0.002469,0.078308,2.527934,2.655
192.168.10.102,0.077888,0.001100,0.076788,4.172337,4.463

192.168.10.100,0.068878,0.000684,0.068194,1.132784,1.210
192.168.10.101,0.070590,0.000357,0.070233,2.553664,2.633
192.168.10.102,0.059689,0.000429,0.059260,4.540806,4.697

192.168.10.100,0.067155,0.002454,0.064701,1.058746,1.135
192.168.10.101,0.065505,0.001122,0.064383,2.442794,2.559
192.168.10.102,0.061416,0.000909,0.060507,4.099007,4.266

192.168.10.100,0.067063,0.002419,0.064644,1.035966,1.114
192.168.10.101,0.062461,0.001297,0.061164,2.475047,2.546
192.168.10.102,0.070753,0.001100,0.069653,4.229108,4.406

192.168.10.100,0.066733,0.002341,0.064392,1.241320,1.316
192.168.10.101,0.063510,0.001129,0.062381,2.596172,2.668
192.168.10.102,0.062567,0.001091,0.061476,4.333716,4.626
